,City,Lat,Lon,Max Temp (F),Humidity,Cloudiness,Wind Speed (mph),Country,Date
0,Bluff,-46.6,168.3333,57.79,70,14,15.41,NZ,1659583256
1,Chokurdakh,70.6333,147.9167,48.2,61,100,14.74,RU,1659583257
2,Kapaa,22.0752,-159.319,84.18,67,0,12.66,US,1659583257
3,Mogadishu,2.0371,45.3438,75.6,82,21,16.4,SO,1659583226
4,Punta Arenas,-53.15,-70.9167,37.51,93,75,16.11,CL,1659583037
5,Kita,13.0349,-9.4895,71.31,95,100,2.46,ML,1659583258
6,Albany,42.6001,-73.9662,75.61,73,1,3.06,US,1659583254
7,Saint Paul Harbor,57.79,-152.4072,65.71,52,100,8.05,US,1659583258
8,Boguchany,58.3814,97.4531,55.42,83,99,7.96,RU,1659583258
9,Ushuaia,-54.8,-68.3,37.06,87,75,3.44,AR,1659583136
10,Lata,40.1629,-8.3327,61.12,93,86,1.45,PT,1659583259
11,Upernavik,72.7868,-56.1549,41.2,80,12,10.04,GL,1659583259
12,Mana,5.6592,-53.7767,77.14,89,61,8.16,GF,1659583260
13,Jamestown,42.097,-79.2353,76.64,73,100,0.0,US,1659582970
14,Cape Town,-33.9258,18.4232,55.11,82,75,9.22,ZA,1659583198
15,Saint-Philippe,-21.3585,55.7679,64.22,83,55,9.71,RE,1659583260
16,Airai,-8.9266,125.4092,75.58,37,75,3.18,TL,1659583260
17,Ryōtsu-minato,38.0833,138.4333,83.35,75,100,7.36,JP,1659583261
18,Barrow,71.2906,-156.7887,48.22,81,100,16.11,US,1659583261
19,Thompson,55.7435,-97.8558,55.56,62,40,3.44,CA,1659583262
20,Hilo,19.7297,-155.09,77.25,91,100,6.91,US,1659583262
21,Avarua,-21.2078,-159.775,75.25,60,20,13.8,CK,1659583262
22,Nikolskoye,59.7035,30.7861,63.79,91,12,5.03,RU,1659583263
23,Longyearbyen,78.2186,15.6401,48.04,87,75,3.44,SJ,1659583263
24,Salta,-24.7859,-65.4117,52.39,84,40,3.44,AR,1659583264
25,Kikwit,-5.041,18.8162,72.37,73,68,0.31,CD,1659583264
26,Ozernovskiy,51.5,156.5167,55.65,89,100,10.38,RU,1659583264
27,Rikitea,-23.1203,-134.9692,71.62,72,96,19.46,PF,1659583265
28,Vanavara,60.34,102.2797,58.69,68,100,7.56,RU,1659583265
29,Provideniya,64.3833,-173.3,42.91,100,100,17.9,RU,1659583265
30,Umluj,25.0213,37.2685,85.78,58,100,7.4,SA,1659583266
31,Shimoda,34.6667,138.95,79.16,86,81,7.18,JP,1659583266
32,Sisimiut,66.9395,-53.6735,45.1,89,100,1.34,GL,1659583266
33,Atuona,-9.8,-139.0333,77.27,81,39,17.78,PF,1659583267
34,Busselton,-33.65,115.3333,54.37,65,97,14.85,AU,1659583267
35,Madimba,-10.4,40.3333,67.66,88,3,6.58,TZ,1659583267
36,Atambua,-9.1061,124.8925,83.48,46,42,2.13,ID,1659583268
37,Alindao,5.0267,21.2088,67.95,96,73,1.97,CF,1659583268
38,Sibolga,1.7427,98.7792,76.51,79,99,1.79,ID,1659583268
39,Faanui,-16.4833,-151.75,78.4,75,17,22.75,PF,1659583269
40,Laas,46.6166,10.7002,62.37,91,20,1.66,IT,1659583269
41,Severo-Kuril'sk,50.6789,156.125,56.35,81,76,7.16,RU,1659583269
42,Pevek,69.7008,170.3133,34.97,96,100,11.74,RU,1659583270
43,Butaritari,3.0707,172.7902,81.99,74,23,15.79,KI,1659583270
44,Warrnambool,-38.3833,142.4833,58.87,58,0,20.22,AU,1659583270
45,Hay River,60.8156,-115.7999,58.98,63,20,11.5,CA,1659583079
46,Yelizovo,53.1873,158.3805,71.74,49,40,4.47,RU,1659583271
47,Carnarvon,-24.8667,113.6333,66.65,53,95,14.29,AU,1659583271
48,Mataura,-46.1927,168.8643,57.47,64,29,8.1,NZ,1659583272
49,Khatanga,71.9667,102.5,60.8,50,33,12.97,RU,1659583272
50,Wana,32.2989,69.5725,77.4,68,0,2.42,PK,1659583272
51,Codrington,-38.2667,141.9667,59.54,61,0,19.37,AU,1659583273
52,Mongo,12.1844,18.693,76.51,80,100,1.79,TD,1659583273
53,Mar del Plata,-38.0023,-57.5575,48.09,82,100,10.36,AR,1659583273
54,Leningradskiy,69.3833,178.4167,40.96,93,100,4.88,RU,1659583274
55,Dikson,73.5069,80.5464,45.54,95,95,8.57,RU,1659583274
56,Kahului,20.8947,-156.47,84.22,71,20,21.85,US,1659583274
57,Torbay,47.6666,-52.7314,68.76,92,75,16.11,CA,1659583275
58,Souillac,-20.5167,57.5167,68.38,73,40,6.91,MU,1659583275
59,San Patricio,28.017,-97.5169,85.89,75,2,18.03,US,1659583275
60,Hermanus,-34.4187,19.2345,43.81,83,85,9.4,ZA,1659583276
61,Ekhabi,53.5102,142.9671,61.79,85,99,12.44,RU,1659583276
62,Srednekolymsk,67.45,153.6833,54.25,71,100,6.89,RU,1659583277
63,Lichinga,-13.3128,35.2406,57.29,88,75,10.36,MZ,1659583277
64,Mahon,39.8885,4.2658,77.56,83,0,4.61,ES,1659583277
65,Coquimbo,-29.9533,-71.3436,49.73,87,0,6.91,CL,1659583278
66,Wagar,16.1525,36.2032,77.95,69,100,12.17,SD,1659583278
67,Meulaboh,4.1363,96.1285,76.39,85,100,5.46,ID,1659583278
68,Santa Maria,-29.6842,-53.8069,61.9,100,100,4.61,BR,1659583279
69,Cabo San Lucas,22.8909,-109.9124,87.1,69,5,12.06,MX,1659583186
70,Touros,-5.1989,-35.4608,74.17,90,31,5.17,BR,1659583279
71,Mahébourg,-20.4081,57.7,68.29,73,40,6.91,MU,1659583280
72,Aizkraukle,56.6048,25.2553,53.6,86,38,4.32,LV,1659583280
73,Klaksvík,62.2266,-6.589,49.12,82,95,11.12,FO,1659583281
74,Talakan,50.3167,130.3667,85.5,50,60,2.48,RU,1659583281
75,Oromocto,45.8351,-66.4792,64.31,90,0,6.91,CA,1659583281
76,East London,-33.0153,27.9116,61.74,82,0,12.66,ZA,1659583282
77,Peniche,39.3558,-9.3811,66.29,93,38,16.51,PT,1659583282
78,Bengkulu,-3.8004,102.2655,80.42,78,79,4.09,ID,1659583282
79,Bathsheba,13.2167,-59.5167,82.06,88,75,19.57,BB,1659583213
80,Ilulissat,69.2167,-51.1,55.42,50,75,16.11,GL,1659583283
81,Hinton,53.4001,-117.5857,55.54,95,100,2.48,CA,1659583283
82,Vardø,70.3705,31.1107,57.18,82,75,5.75,NO,1659583283
83,Erzin,36.9559,36.2,77.0,90,53,1.5,TR,1659583284
84,Kenai,60.5544,-151.2583,70.03,72,0,9.22,US,1659583284
85,Arraial do Cabo,-22.9661,-42.0278,64.26,94,0,2.3,BR,1659583284
86,Ponta do Sol,32.6667,-17.1,70.43,77,8,7.47,PT,1659583285
87,Sioux Lookout,50.1001,-91.917,59.07,82,75,3.44,CA,1659583285
88,Narsaq,60.9167,-46.05,50.22,99,100,5.75,GL,1659583285
89,Hobart,-42.8794,147.3294,64.26,54,40,10.36,AU,1659583188
90,Christchurch,-43.5333,172.6333,64.42,37,67,16.11,NZ,1659583286
91,Shar,49.5886,81.0453,69.51,37,99,13.11,KZ,1659583286
92,Nome,64.5011,-165.4064,60.17,88,100,10.36,US,1659583287
93,Eureka,40.8021,-124.1637,64.36,82,26,8.01,US,1659582709
94,Mildura,-34.2,142.15,69.76,32,40,17.27,AU,1659583287
95,Whitecourt,54.1502,-115.6855,60.04,88,100,5.75,CA,1659583288
96,Suntar,62.1444,117.6319,62.73,95,100,7.76,RU,1659583288
97,Tiznit Province,29.5833,-9.5,83.03,30,97,1.05,MA,1659583288
98,Jalu,29.0331,21.5482,78.17,46,0,7.49,LY,1659583289
99,Broken Hill,-31.95,141.4333,70.57,30,11,27.81,AU,1659583289
100,Bethel,41.3712,-73.414,75.76,83,0,1.01,US,1659583289
101,Rantepao,-2.9701,119.8978,80.46,62,39,4.54,ID,1659583290
102,Mossamedes,-15.1961,12.1522,59.02,85,2,5.44,AO,1659583290
103,Cidreira,-30.1811,-50.2056,61.66,96,100,6.73,BR,1659583290
104,Mirandela,41.4874,-7.187,71.37,70,3,3.65,PT,1659583291
105,Oktyabr'skiy,54.4815,53.471,65.71,73,54,3.31,RU,1659583291
106,Santa Cruz de la Sierra,-17.8,-63.1667,72.86,94,75,10.36,BO,1659583292
107,Saskylakh,71.9167,114.0833,55.83,50,23,14.12,RU,1659583292
108,Vaini,-21.2,-175.2,80.76,89,75,10.36,TO,1659583292
109,Ketchikan,55.3422,-131.6461,61.27,63,0,4.61,US,1659583293
110,Vila Franca do Campo,37.7167,-25.4333,72.01,94,37,5.3,PT,1659583293
111,Adrar,20.5022,-10.0711,91.96,31,2,14.85,MR,1659583293
112,Iracoubo,5.4802,-53.2011,77.14,88,42,8.63,GF,1659583294
113,Aklavik,68.2191,-135.0107,68.27,49,99,4.09,CA,1659583294
114,Fuyu,45.1833,124.8167,87.4,64,28,8.43,CN,1659583294
115,Namatanai,-3.6667,152.4333,84.24,71,98,11.5,PG,1659583295
116,Hillsborough,37.5741,-122.3794,78.44,87,20,17.27,US,1659583295
117,Bururi Province,-3.85,29.6333,60.13,65,100,1.16,BI,1659583295
118,Amahai,-3.3333,128.9167,81.28,76,98,4.7,ID,1659583296
119,Jambi City,-1.6,103.6167,82.6,73,100,3.76,ID,1659583296
120,Craig,40.5153,-107.5464,76.62,60,0,3.44,US,1659583296
